Tempo;Entrada;Saida;
883731955;3.116014;2.000000;
883831963;3.136444;2.000000;
883931959;3.143578;2.000000;
884031973;3.151036;2.000000;
884131935;3.131579;2.000000;
884231974;3.160116;2.000000;
884331983;3.157198;2.000000;
884431963;3.145848;2.000000;
884531964;3.125094;2.000000;
884631969;3.130606;2.000000;
884731994;3.135146;2.000000;
884831965;3.130931;2.000000;
884931969;3.104988;2.000000;
885031968;3.151036;2.000000;
885131968;3.116338;2.000000;
885231969;3.126391;2.000000;
885331969;3.146172;2.000000;
885431986;3.147794;2.000000;
885531977;3.123796;2.000000;
885631994;3.138389;2.000000;
885731974;3.141956;2.000000;
885831973;3.137092;2.000000;
885931972;3.155252;2.000000;
886031997;3.147469;2.000000;
886132005;3.145848;2.000000;
886231992;3.152982;2.000000;
886331960;3.136119;2.000000;
886432008;3.113744;2.000000;
886531983;3.142605;2.000000;
886631983;3.122824;2.000000;
886731994;3.139038;2.000000;
886832021;3.137092;2.000000;
886931997;3.142605;2.000000;
887031981;3.129309;2.000000;
887132015;3.135471;2.000000;
887232000;3.131904;2.000000;
887332012;3.149415;2.000000;
887432011;3.144551;2.000000;
887532004;3.156225;2.000000;
887632023;3.142281;2.000000;
887731997;3.137416;2.000000;
887831997;3.123472;2.000000;
887931998;3.164332;2.000000;
888031995;3.148766;2.000000;
888131996;3.142929;2.000000;
888232006;3.134822;2.000000;
888332013;3.144551;2.000000;
888432013;3.132228;2.000000;
888531996;3.155901;2.000000;
888631998;3.154279;2.000000;
888732013;3.144875;2.000000;
888831964;3.143578;2.000000;
888932038;3.154604;2.000000;
889032009;3.115689;2.000000;
889131985;3.158495;2.000000;
889232023;3.151685;2.000000;
889332023;3.140659;2.000000;
889432022;3.143254;2.000000;
889532014;3.167899;2.000000;
889632022;3.162711;2.000000;
889732013;3.143902;2.000000;
889831982;3.152009;2.000000;
889932022;3.149091;2.000000;
890032012;3.133525;2.000000;
890132028;3.151361;2.000000;
890232038;3.155901;2.000000;
890332017;3.150064;2.000000;
890432038;3.148118;2.000000;
890532026;3.137092;2.000000;
890632037;3.146496;2.000000;
890732028;3.124769;2.000000;
890832048;3.140659;2.000000;
890932020;3.154604;2.000000;
891032048;3.130282;2.000000;
891132037;3.152982;2.000000;
891232050;3.147469;2.000000;
891332026;3.142605;2.000000;
891432040;3.148442;2.000000;
891532061;3.163035;2.000000;
891632031;3.152982;2.000000;
891732055;3.160116;2.000000;
891832032;3.130931;2.000000;
891932049;3.142929;2.000000;
892032035;3.175034;2.000000;
892132034;3.160765;2.000000;
892232034;3.156225;2.000000;
892332039;3.172115;2.000000;
892432063;3.176979;2.000000;
892532044;3.164981;2.000000;
892632063;3.164008;2.000000;
892732039;3.161089;2.000000;
892832049;3.147145;2.000000;
892932088;3.163359;2.000000;
893032055;3.161089;2.000000;
893132046;3.176006;2.000000;
893232045;3.174385;2.000000;
893332060;3.165629;2.000000;
893432049;3.135146;2.000000;
893532048;3.164656;2.000000;
893632050;3.152982;2.000000;
893732055;3.162711;2.000000;
893832051;3.149739;2.000000;
893932081;3.170169;2.000000;
894032078;3.146821;2.000000;
894132070;3.133525;2.000000;
894232059;3.154279;2.000000;
894332088;3.133201;2.000000;
894432059;3.151361;2.000000;
894532057;3.119256;2.000000;
894632071;3.125094;2.000000;
894732071;3.142929;2.000000;
894832095;3.137416;2.000000;
894932064;3.159144;2.000000;
895032090;3.155252;2.000000;
895132156;3.219785;2.000000;
895232024;3.190275;2.000000;
895332077;3.164008;2.000000;
895432078;3.152982;2.000000;
895532077;3.172764;2.000000;
895632092;3.135471;2.000000;
895732166;3.185735;2.000000;
895832030;3.160116;2.000000;
895932065;3.156874;2.000000;
896032094;3.166926;2.000000;
896132077;3.164981;2.000000;
896232080;3.155901;2.000000;
896332074;3.145524;2.000000;
896432074;3.132876;2.000000;
896532088;3.193518;2.000000;
896632103;3.182492;2.000000;
896732081;3.169196;2.000000;
896832080;3.144875;2.000000;
896932104;3.112771;2.000000;
897032085;3.128661;2.000000;
897132079;3.167575;2.000000;
897232065;3.128012;2.000000;
897332094;3.159468;2.000000;
897432133;3.162062;2.000000;
897532092;3.151361;2.000000;
897632075;3.170169;2.000000;
897732118;3.158495;2.000000;
897832137;3.137416;2.000000;
897932118;3.161089;2.000000;
898032186;3.156549;2.000000;
898132065;3.172439;2.000000;
898232105;3.147794;2.000000;
898332106;3.149739;2.000000;
898432107;3.132552;2.000000;
898532105;3.156549;2.000000;
898632125;3.162062;2.000000;
898732097;3.121526;2.000000;
898832093;3.155901;2.000000;
898932098;3.143902;2.000000;
899032093;3.147794;2.000000;
899132097;3.174061;2.000000;
899232118;3.151036;2.000000;
899332116;3.160116;2.000000;
899432131;3.133849;2.000000;
899532131;3.144875;2.000000;
899632100;3.163035;2.000000;
899732128;3.137741;2.000000;
899832097;3.183789;2.000000;
899932116;3.150064;2.000000;
900032122;3.147794;2.000000;
900132121;3.156874;2.000000;
900232121;3.135795;2.000000;
900332118;3.156549;2.000000;
900432139;3.182168;2.000000;
900532114;3.166926;2.000000;
900632109;3.139686;2.000000;
900732113;3.143254;2.000000;
900832113;3.156225;2.000000;
900932132;3.160116;2.000000;
901032111;3.177304;2.000000;
901132125;3.160765;2.000000;
901232145;3.168872;2.000000;
901332154;3.161089;2.000000;
901432127;3.155576;2.000000;
901532123;3.190599;2.000000;
901632122;3.158171;2.000000;
901732120;3.160116;2.000000;
901832124;3.165954;2.000000;
901932124;3.173412;2.000000;
902032151;3.161414;2.000000;
902132139;3.173736;2.000000;
902232130;3.165954;2.000000;
902332156;3.177304;2.000000;
902432159;3.141308;2.000000;
902532137;3.157198;2.000000;
902632131;3.166278;2.000000;
902732131;3.152334;2.000000;
902832131;3.129958;2.000000;
902932132;3.154604;2.000000;
903032144;3.166602;2.000000;
